										AB_Fed#2_Retrograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
3A	4	a	188.430264	191.393004	188.430264	2.9627399999999966	0.08430861459261063	189.61536	1.4813699999999983	0.2147924964086294	
3A	4	a	193.170648	194.948292	193.763196	1.7776440000000093	0.06318269823470679	193.763196	0.8888220000000047	0.10582153143830775	
3A	4	a	196.725936	198.50358	196.725936	1.7776440000000093	0.038643821483126395	197.318484	0.8888220000000047	0.056772305204451534	
3A	2	b	199.096128	201.46632	199.688676	2.370192000000003	-0.09051797836562514	200.281224	1.1850960000000015	-0.1674298987204148	
3A	4	a	205.021608	209.169444	206.206704	4.147836000000012	0.24412212538266864	206.799252	2.073918000000006	0.8895162016481528	
3A	2	b	209.761992	214.502376	210.35454	4.740384000000006	-0.09301726525598575	212.132184	2.370192000000003	-0.4583238507042324	
3A	2	b	215.094924	222.2055	220.427856	7.110576000000009	-0.1642050691784238	218.650212	3.5552880000000044	-0.8292014658061357	
3A	2	b	222.798048	234.05646	226.945884	11.258411999999993	-0.2725364681654616	228.13098	5.629205999999996	-2.2687026120102067	
3A	2	b	234.649008	239.98194	237.0192	5.332932	-0.24354168241703533	237.0192	2.666466	-1.4262187928865027	
3A	2	b	240.574488	256.573284	242.94468	15.998795999999999	-2.161308314152188	248.277612	7.999397999999999	-23.18909954463774	
3A	2	b	257.165832	273.164628	261.906216	15.99879599999997	-0.8097688572420605	264.868956	7.999397999999985	-10.119724222409026	
3A	2	b	273.757176	286.793232	279.090108	13.036055999999974	-1.3837827617713403	280.275204	6.518027999999987	-17.608716590926797	
3A	2	b	288.570876	322.93866	290.941068	34.36778400000003	-2.8751828798548895	305.754768	17.183892000000014	-71.64926889635734	
3A	2	b	323.531208	338.344908	325.9014	14.813699999999983	-1.1170716531711125	330.641784	7.4068499999999915	-13.701737394035437	
3A	2	b	338.937456	360.269184	341.900196	21.331728	-2.255231698744207	349.60332	10.665864	-52.48199118572141	
4A	2	b	0.0	15.998796	0.592548	15.998796	-1.8799631627848674	7.703124	7.999398	-42.208665439064994	
4A	2	b	16.591344	33.182688	20.146632	16.591344	-2.6854487041418076	24.887016	8.295672	-40.98129800978537	
4A	2	b	33.775236	79.401432	42.663456	45.626196	-2.0244968463838173	56.29206	22.813098	-88.50786840300869	
4A	2	b	79.99398	101.325708	89.474748	21.331728000000012	-0.5044643358346761	90.659844	10.665864000000006	-8.044981773942805	
4A	2	b	103.103352	107.843736	104.288448	4.740384000000006	-0.5501676430212674	105.473544	2.370192000000003	-2.5139396257906266	
4A	2	b	108.436284	119.694696	115.54686	11.258411999999993	-0.26166635520684256	113.769216	5.629205999999996	-2.9979334553447496	
4A	2	b	120.287244	132.138204	121.47234	11.85096	-0.3299253844194112	126.212724	5.92548	-2.0714191012378906	
4A	2	b	132.730752	136.878588	135.100944	4.147836000000012	-0.07009621538527089	134.508396	2.073918000000006	-0.26685345418489304	
4A	2	b	137.471136	154.06248	140.433876	16.591343999999992	-1.2066288387670308	145.766808	8.295671999999996	-14.511603664480804	
4A	2	b	155.840124	170.653824	158.210316	14.813699999999983	-1.0562510978260402	162.9507	7.4068499999999915	-16.87411807953109	
4A	2	b	171.246372	221.612952	207.984348	50.36658	-1.2617828049662947	196.133388	25.18329	-28.788207741201347	
4A	2	b	222.2055	225.760788	223.390596	3.5552879999999902	-0.12066631871386946	223.983144	1.7776439999999951	-0.366373941192105	
4A	4	a	226.353336	239.98194	238.204296	13.628603999999996	0.4601913829223463	232.871364	6.814301999999998	5.958144332315304	
4A	2	b	240.574488	255.980736	244.722324	15.406248000000005	-1.2853356985713864	248.277612	7.7031240000000025	-21.826761445450582	
4A	2	b	256.573284	270.201888	264.868956	13.628603999999996	-0.29777784032177035	263.091312	6.814301999999998	-4.719015733483578	
4A	2	b	271.979532	308.717508	289.755972	36.737976	-1.9107419567321902	290.34852	18.368988	-60.781963654805104	
4A	2	b	309.310056	323.531208	315.828084	14.221152000000018	-0.3110840319321895	316.420632	7.110576000000009	-3.9406821954308313	
4A	4	a	324.123756	326.493948	324.716304	2.3701919999999745	0.3498516762451791	325.308852	1.1850959999999873	0.8485757630899631	
4A	2	b	327.086496	333.604524	327.679044	6.518028000000015	-0.3047761675858154	330.049236	3.2590140000000076	-1.050913656584176	
4A	2	b	335.974716	352.56606	339.530004	16.591343999999992	-1.235050191719258	344.270388	8.295671999999996	-19.07611905647613	
4A	2	b	353.158608	360.269184	354.936252	7.1105759999999805	-0.22366474839088513	356.713896	3.5552879999999902	-1.6280342169815272	
5A	4	a	0.0	7.703124	0.0	7.703124	1.1487295834706384	3.555288	3.851562	6.559809514361044	
5A	2	b	8.295672	18.961536	14.221152	10.665864	-1.548336443062177	13.628604	5.332932	-17.965860925474605	
5A	2	b	19.554084	34.367784	24.887016	14.8137	-2.9024439777461364	26.66466	7.40685	-46.28524747935039	
5A	2	b	36.145428	38.51562	36.737976	2.370191999999996	-0.11974285838715559	37.330524	1.185095999999998	-0.2034052181657633	
5A	2	b	40.293264	50.959128	43.256004	10.665864	-1.1163759701811324	45.626196	5.332932	-9.55772364085122	
5A	2	b	51.551676	79.401432	71.698308	27.849756	-2.0386610609043347	65.18028	13.924878	-35.40501796343635	
5A	2	b	79.99398	97.77042	87.104556	17.776440000000008	-1.0415238337949289	88.8822	8.888220000000004	-13.184438077270297	
