										Kaede_Unfed#15_Retrograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
3A	2	b	354.123576	372.58812	358.739712	18.46454399999999	-0.5897038274570008	363.355848	9.232271999999995	-5.237895425921524	
3A	2	b	373.247568	390.393216	376.544808	17.145647999999994	-0.5760465377748574	381.820392	8.572823999999997	-6.869865668692793	
3A	2	b	393.690456	409.517208	395.6688	15.826751999999999	-0.5086768936049495	401.603832	7.9133759999999995	-3.258796006702127	
3A	2	b	410.176656	425.34396	416.771136	15.167304000000001	-0.3005129521980052	417.430584	7.583652000000001	-2.7138925604529156	
3A	2	b	426.003408	427.981752	426.662856	1.9783439999999928	-0.02529137138466453	426.662856	0.9891719999999964	-0.03313731318387525	
3A	4	a	428.6412	431.278992	430.619544	2.6377919999999904	0.0417783326214618	429.960096	1.3188959999999952	0.07501432846650324	
3A	2	b	433.257336	474.80256	460.294704	41.54522400000002	-2.855967718696375	453.700224	20.77261200000001	-37.52775450096662	
3A	2	b	475.462008	489.310416	479.418696	13.84840799999995	-1.4675717871240863	482.056488	6.924203999999975	-13.484697278590888	
3A	4	a	491.28876	494.586	491.948208	3.297239999999988	0.10677731522633493	492.607656	1.648619999999994	0.26197206027981856	
3A	2	b	495.245448	528.217848	515.028888	32.97239999999999	-4.771647546241679	511.731648	16.486199999999997	-89.42520143310475	
3A	2	b	528.877296	539.428464	531.515088	10.551167999999961	-3.1841865356226364	534.15288	5.275583999999981	-21.867655576942695	
3A	2	b	540.087912	542.725704	541.406808	2.6377919999999904	-0.02720603828936774	541.406808	1.3188959999999952	-0.06956071787091034	
3A	2	b	545.363496	562.509144	548.001288	17.145647999999937	-2.0525430991492843	553.93632	8.572823999999969	-20.93599061270411	
3A	2	b	563.168592	575.698104	567.12528	12.529511999999954	-2.312019589465045	569.103624	6.264755999999977	-14.44996017761472	
3A	2	b	576.357552	600.09768	593.5032	23.740127999999913	-6.154053003227871	588.227616	11.870063999999957	-130.7799951011226	
4A	2	b	0.0	1.978344	0.0	1.978344	-0.14096971513822254	0.659448	0.989172	-0.19814231637522184	
4A	2	b	2.637792	42.204672	20.442888	39.566880000000005	-10.232256526008086	22.421232	19.783440000000002	-243.69239288780835	
4A	2	b	44.183016	50.118048	46.820808	5.935032	-4.160804190569877	46.820808	2.967516	-21.980166865281216	
4A	4	a	50.777496	61.328664	55.393632	10.551168000000004	1.5872844763544158	56.05308	5.275584000000002	19.449336500099697	
4A	2	b	61.988112	69.24204	63.966456	7.253928000000002	-2.8568301422926208	65.285352	3.626964000000001	-17.766181989300815	
4A	4	a	69.901488	72.53928	70.560936	2.6377920000000046	0.41254438359726464	71.220384	1.3188960000000023	0.9904424454760656	
4A	2	b	73.198728	95.61996	83.090448	22.421232000000003	-3.877874219239418	84.409344	11.210616000000002	-56.25271635823987	
4A	2	b	96.279408	106.830576	100.236096	10.55116799999999	-2.182923832121693	101.554992	5.275583999999995	-18.289203816891327	
4A	4	a	107.490024	117.381744	114.084504	9.891719999999992	0.36689424257110126	112.10616	4.945859999999996	3.7170618812747724	
4A	2	b	118.041192	125.954568	119.360088	7.9133759999999995	-1.3339958802905745	121.99788	3.9566879999999998	-7.473767708592763	
4A	2	b	126.614016	152.332488	136.505736	25.718472000000006	-3.413552858844275	139.143528	12.859236000000003	-42.75082742532626	
4A	2	b	154.97028	158.26752	154.97028	3.297239999999988	-0.12996142557039114	156.289176	1.648619999999994	-0.34980056338168897	
4A	4	a	160.245864	193.218264	182.007648	32.97239999999999	0.39361807338265287	176.732064	16.486199999999997	12.282398217941743	
4A	2	b	193.877712	226.850112	203.109984	32.97239999999999	-5.434941314222879	210.363912	16.486199999999997	-100.0213384380875	
4A	2	b	227.50956	255.865824	249.271344	28.35626400000001	-0.17491772166510522	241.357968	14.178132000000005	-3.5569758725716323	
4A	2	b	259.163064	294.773256	268.395336	35.610191999999984	-9.42961327253477	276.96816	17.805095999999992	-269.96013560033515	
4A	2	b	295.432704	297.411048	295.432704	1.9783439999999928	-0.03891784974577206	296.092152	0.9891719999999964	-0.031694616623504146	
4A	4	a	298.070496	301.367736	300.04884	3.297239999999988	0.15222191652339312	299.389392	1.648619999999994	0.40447435075470217	
4A	2	b	302.027184	308.621664	304.664976	6.594480000000033	-1.0565304372246924	305.324424	3.2972400000000164	-6.641432334504503	
4A	4	a	309.281112	317.194488	312.578352	7.913375999999971	0.5981670470019722	313.2378	3.9566879999999855	4.822560261163938	
4A	2	b	317.853936	334.340136	321.810624	16.486199999999997	-5.395769411739389	325.767312	8.243099999999998	-67.28106114547447	
4A	2	b	334.999584	344.891304	337.637376	9.891719999999964	-2.497841865222874	339.61572	4.945859999999982	-15.49445613592482	
4A	4	a	345.550752	348.847992	345.550752	3.297239999999988	0.05871474228802853	346.869648	1.648619999999994	0.11713602860564087	
4A	2	b	350.826336	369.950328	356.761368	19.123991999999987	-5.570175842849512	360.058608	9.561995999999994	-55.630300072556146	
4A	4	a	370.609776	372.58812	371.269224	1.9783439999999928	0.11004608572447516	371.269224	0.9891719999999964	0.1374408968749936	
4A	2	b	373.247568	385.77708	375.225912	12.529512000000011	-2.8468468976896535	379.1826	6.2647560000000055	-20.033326842827336	
4A	2	b	386.436528	406.879416	394.349904	20.442887999999982	-5.371780514852002	396.328248	10.221443999999991	-69.1847470057721	
4A	4	a	407.538864	412.155	410.176656	4.616135999999983	0.3138790929965438	409.517208	2.3080679999999916	1.2634746138451227	
4A	2	b	412.814448	422.706168	414.133344	9.891719999999964	-2.4239348798444738	417.430584	4.945859999999982	-12.04382441699736	
4A	2	b	423.365616	429.300648	426.003408	5.935032000000035	-0.11437863335297038	426.003408	2.9675160000000176	-0.6821299812328556	
4A	2	b	431.93844	444.467952	436.554576	12.529512000000011	-4.326907156923754	437.873472	6.2647560000000055	-27.169665971842278	
4A	2	b	446.446296	481.39704	455.01912	34.950743999999986	-4.588484469380981	463.591944	17.475371999999993	-54.224451190627455	
4A	2	b	482.056488	484.034832	482.715936	1.9783439999999928	-0.06575023919913647	482.715936	0.9891719999999964	-0.09187341727956522	
4A	2	b	484.69428	499.202136	489.969864	14.507856000000004	-1.4293307881928712	491.948208	7.253928000000002	-11.443987146786823	
4A	4	a	499.861584	507.77496	505.137168	7.913376000000028	0.32138722305394474	503.818272	3.956688000000014	2.109385327574973	
4A	2	b	508.434408	541.406808	514.36944	32.972399999999936	-8.913756597076635	524.920608	16.486199999999968	-261.6939618556774	
4A	2	b	542.066256	551.298528	546.022944	9.23227200000008	-2.9244182889217694	546.682392	4.61613600000004	-18.491847961447718	
4A	4	a	551.957976	561.190248	555.255216	9.232271999999966	0.27237560068738276	556.574112	4.616135999999983	2.067072010347176	
4A	2	b	561.849696	569.763072	563.82804	7.913375999999971	-1.7081379227466655	565.806384	3.9566879999999855	-11.2215606528431	
4A	2	b	570.42252	600.09768	594.162648	29.675160000000005	-10.19506159860159	584.930376	14.837580000000003	-206.09047320674838	
5A	2	b	0.0	13.18896	5.935032	13.18896	-1.7787936887010254	6.59448	6.59448	-20.259506972291287	
5A	2	b	17.145648	40.885776	24.399576	23.740128	-6.60746220450569	29.015712	11.870064	-104.570819100961	
5A	2	b	41.545224	51.436944	43.523568	9.89172	-1.1938293686146508	46.16136	4.94586	-8.290192348496355	
5A	2	b	54.734184	105.51168	78.474312	50.777496	-6.246661593703717	79.793208	25.388748	-176.51108910296347	
