										Kaede_Unfed#14_Anterograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
11A	4	a	243.336312	265.098096	249.930792	21.761784000000006	1.299372661875787	253.88748	10.880892000000003	20.869232297807006	
11A	4	a	267.07644	291.476016	273.67092	24.399576000000025	0.24045742266702996	278.946504	12.199788000000012	4.931810752644234	
11A	4	a	292.135464	296.092152	292.135464	3.9566879999999855	0.08437813678281758	294.113808	1.9783439999999928	0.2700855522511596	
11A	4	a	296.7516	308.621664	303.34608	11.870064000000013	0.7800749284119859	302.686632	5.935032000000007	7.026561644404979	
11A	4	a	309.281112	333.02124	318.513384	23.74012799999997	0.24541994239114384	321.151176	11.870063999999985	4.826072266051041	
11A	4	a	334.999584	365.99364	354.783024	30.994056	1.3675739600273826	350.166888	15.497028	18.011667830711062	
11A	4	a	367.971984	377.204256	371.269224	9.232271999999966	0.12202026086688988	372.58812	4.616135999999983	0.9464996075138945	
11A	4	a	377.863704	417.430584	405.56052	39.566880000000026	1.3164560458315369	397.647144	19.783440000000013	19.956294762978843	
11A	2	b	418.090032	426.662856	422.04672	8.572823999999969	-0.24673119867477755	422.04672	4.286411999999984	-1.8758850770388151	
11A	4	a	427.322304	431.278992	429.960096	3.9566880000000424	0.07443799327851242	429.300648	1.9783440000000212	0.2630860112326714	
11A	4	a	433.257336	447.765192	441.170712	14.507856000000004	0.11656182511914004	440.511264	7.253928000000002	1.767340846525852	
11A	2	b	449.743536	455.01912	453.040776	5.275583999999981	-0.15206557497194328	452.381328	2.6377919999999904	-0.7318517024443967	
11A	4	a	455.678568	474.143112	460.294704	18.46454399999999	1.6855770086065047	464.91084	9.232271999999995	26.487026451159547	
11A	2	b	476.121456	513.709992	497.223792	37.58853600000003	-0.5159856917750503	494.586	18.794268000000017	-19.26346870189994	
11A	4	a	514.36944	536.790672	518.326128	22.421231999999918	1.0876502100625443	525.580056	11.210615999999959	10.93730594183674	
11A	4	a	537.45012	540.087912	537.45012	2.6377919999999904	0.029466586752082247	538.769016	1.3188959999999952	0.054282862345877536	
11A	2	b	540.74736	567.784728	546.682392	27.037368000000015	-0.185126599317881	553.93632	13.518684000000007	-4.038029980420777	
11A	4	a	568.444176	578.995344	573.71976	10.551168000000075	0.4261837024521875	573.71976	5.275584000000038	3.0517692163461896	
11A	4	a	579.654792	600.09768	587.568168	20.442887999999925	0.20501777589580072	589.546512	10.221443999999963	3.7475425853189885	
12A	4	a	1.318896	3.956688	1.978344	2.637792	0.1234723263541131	2.637792	1.318896	0.21737087663112442	
12A	4	a	4.616136	14.507856	9.232272	9.89172	0.2323595509204628	9.232272	4.94586	1.9221088578783903	
12A	4	a	15.167304	45.501912	34.950744	30.334607999999996	1.5322819935081915	30.334608	15.167303999999998	35.69320900224614	
12A	4	a	46.16136	61.328664	49.4586	15.167304000000001	0.647616636529091	53.415288	7.583652000000001	6.871170826210275	
12A	4	a	61.988112	81.771552	72.53928	19.78344	0.20419893004263656	71.879832	9.89172	3.422792934288108	
12A	4	a	82.431	112.765608	94.301064	30.334608000000003	1.0116794785700716	97.598304	15.167304000000001	25.754137479442154	
12A	4	a	114.743952	118.041192	116.062848	3.297240000000002	0.0964136035176626	116.062848	1.648620000000001	0.1713309920287296	
12A	2	b	118.70064	139.802976	132.549048	21.102335999999994	-0.3443483639294609	129.251808	10.551167999999997	-5.641884613775651	
12A	4	a	140.462424	165.521448	147.056904	25.059023999999994	0.9763051986258215	152.991936	12.529511999999997	16.591351725980456	
12A	4	a	166.180896	168.15924	166.180896	1.9783440000000212	0.09693280033958995	166.840344	0.9891720000000106	0.1087854566415194	
12A	4	a	168.818688	174.094272	170.137584	5.275583999999981	0.06225632334499753	171.45648	2.6377919999999904	0.27685809281217866	
12A	2	b	174.75372	202.450536	197.174952	27.696816000000013	-0.23612978413342178	188.602128	13.848408000000006	-5.086041448034345	
12A	4	a	203.109984	218.277288	209.704464	15.167304000000001	0.5480058674377544	210.363912	7.583652000000001	6.391992369389715	
12A	4	a	218.936736	222.233976	219.596184	3.2972400000000164	0.08491547299670099	220.255632	1.6486200000000082	0.2316107613697409	
12A	2	b	225.531216	253.228032	245.974104	27.696816000000013	-0.4272170056112903	239.379624	13.848408000000006	-11.451432741367562	
12A	4	a	253.88748	277.627608	262.460304	23.740128	1.0721970919795534	265.757544	11.870064	19.723706462372338	
12A	4	a	278.287056	280.2654	278.287056	1.9783439999999928	0.023816320611195874	278.946504	0.9891719999999964	0.028704826027477592	
12A	2	b	280.924848	305.983872	300.04884	25.059024000000022	-0.2351974160576784	293.45436	12.529512000000011	-4.0942696848557905	
12A	4	a	306.64332	323.12952	315.216144	16.486199999999997	0.5769444769261018	314.556696	8.243099999999998	7.249048259626797	
12A	4	a	323.788968	325.767312	325.107864	1.9783439999999928	0.065314388302951	324.448416	0.9891719999999964	0.0430461639977473	
12A	2	b	326.42676	356.10192	349.50744	29.675160000000005	-0.4455060792189225	340.934616	14.837580000000003	-11.173428478846214	
12A	4	a	356.761368	375.225912	365.334192	18.46454399999999	1.5336914766491594	365.99364	9.232271999999995	22.91691651537147	
12A	4	a	375.88536	383.798736	378.523152	7.913376000000028	0.07701826157602243	379.842048	3.956688000000014	0.3874438144445993	
12A	2	b	384.458184	404.901072	401.603832	20.442887999999982	-0.35725953767180885	394.349904	10.221443999999991	-6.458270859136838	
12A	4	a	405.56052	422.706168	415.45224	17.145647999999994	0.6395087687162486	414.133344	8.572823999999997	7.701608994646006	
12A	4	a	423.365616	427.981752	425.34396	4.616135999999983	0.12349761806930415	425.34396	2.3080679999999916	0.42086536702993005	
12A	2	b	428.6412	463.591944	453.700224	34.950743999999986	-0.618079652495501	445.786848	17.475371999999993	-20.48812882758665	
12A	4	a	464.251392	484.034832	468.20808	19.783439999999985	1.2029866158768243	474.143112	9.891719999999992	17.76387074916197	
12A	2	b	487.332072	508.434408	489.969864	21.102336000000037	-0.1839949691634155	497.88324	10.551168000000018	-3.058878032725737	
12A	4	a	509.093856	517.007232	514.36944	7.913376000000028	0.2191881476702089	513.050544	3.956688000000014	1.3810244776730498	
12A	4	a	517.66668	536.790672	522.282816	19.12399199999993	0.7306604886495593	526.898952	9.561995999999965	12.496709613979355	
12A	4	a	540.087912	555.914664	550.63908	15.826752000000056	0.12763103044391633	548.001288	7.913376000000028	1.3463786471507722	
12A	4	a	556.574112	561.190248	557.23356	4.616135999999983	0.06397614183024558	558.552456	2.3080679999999916	0.2841305719197418	
12A	4	a	563.82804	565.806384	563.82804	1.9783439999999928	0.03267973357427323	564.487488	0.9891719999999964	0.047522726577248875	
12A	4	a	566.465832	600.09768	582.952032	33.63184799999999	0.2593044168442642	582.952032	16.815923999999995	4.924267333213322	
13A	4	a	0.0	4.616136	0.659448	4.616136	0.33615743427892664	1.978344	2.308068	1.473096984276488	
13A	4	a	5.275584	10.551168	6.59448	5.275584	0.09859130467346944	7.913376	2.637792	0.439556430185438	
13A	4	a	11.210616	43.523568	36.929088	32.312951999999996	3.022621091200625	27.037368	16.156475999999998	50.67881927077917	
13A	4	a	44.183016	80.452656	49.4586	36.26964	0.7926792051268081	61.988112	18.13482	24.88112436881515	
13A	4	a	81.112104	103.533336	94.960512	22.421232000000003	0.5390579307273562	92.32272	11.210616000000002	4.873423234065562	
13A	4	a	105.51168	111.446712	108.80892	5.935032000000007	0.33614717712175457	108.149472	2.9675160000000034	1.855524882895013	
13A	4	a	112.10616	120.019536	118.70064	7.9133759999999995	0.08782182147691708	116.062848	3.9566879999999998	0.553755133326479	
13A	4	a	120.678984	132.549048	121.338432	11.870064	0.10875270469552678	126.614016	5.935032	0.9313367851727115	
13A	4	a	133.208496	137.165184	133.208496	3.956688000000014	0.0985422721451168	135.18684	1.978344000000007	0.20315983628001266	
13A	2	b	140.462424	143.759664	140.462424	3.297239999999988	-0.044805533780435614	141.78132	1.648619999999994	-0.085410527590289	
13A	4	a	144.419112	160.905312	149.694696	16.486199999999997	0.9245504717144568	152.332488	8.243099999999998	10.279710671432639	
13A	4	a	161.56476	190.580472	172.115928	29.01571199999998	0.30225244459777434	176.072616	14.50785599999999	6.75908046658679	
13A	4	a	191.23992	216.958392	207.066672	25.71847199999999	0.34876231288623405	203.769432	12.859235999999996	7.585109771043864	
13A	4	a	217.61784	231.466248	220.91508	13.848408000000006	0.286677363415063	224.21232	6.924204000000003	3.0311362074681765	
13A	4	a	232.125696	239.379624	234.10404	7.253928000000002	0.09953418134862524	235.422936	3.626964000000001	0.7071993534211609	
