										AB_Unfed#1_Anterograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
13A	4	a	577.233888	589.50096	585.411936	12.267071999999985	0.2589569443384174	583.367424	6.133535999999992	2.1021424509126185	
13A	4	a	590.182464	592.90848	591.545472	2.7260160000000724	0.03705069515883541	591.545472	1.3630080000000362	0.0774074035174025	
13A	4	a	593.589984	599.042016	596.316	5.452032000000031	0.05176864534496217	596.316	2.7260160000000155	0.2500774125616434	
14A	4	a	2.044512	5.452032	3.40752	3.40752	0.034954848405934325	3.40752	1.70376	0.0913616529021023	
14A	4	a	6.133536	18.400608	14.311584	12.267071999999999	0.05320478988677446	12.267072	6.133535999999999	0.4794580897008507	
14A	4	a	19.082112	23.85264	21.126624	4.770528000000002	0.031574302449789426	21.126624	2.385264000000001	0.10850944574795784	
14A	4	a	27.26016	60.653856	49.749792	33.393696	0.48241466230408214	43.616256	16.696848	7.096209106630303	
14A	4	a	61.33536	121.307712	115.85568	59.972351999999994	0.1079285148295257	91.321536	29.986175999999997	4.611094051291234	
14A	4	a	121.989216	138.345312	132.211776	16.356096000000008	0.061311507412250554	130.167264	8.178048000000004	0.6658748186185528	
14A	4	a	139.026816	144.478848	142.434336	5.452032000000003	0.0212442521506504	141.752832	2.7260160000000013	0.11314258693813783	
14A	4	a	145.160352	149.93088	146.52336	4.770528000000013	0.03262477412077458	147.204864	2.3852640000000065	0.09117793043552258	
14A	4	a	153.3384	158.790432	153.3384	5.452032000000003	0.05041357026876603	156.064416	2.7260160000000013	0.16183411505889655	
14A	4	a	159.471936	162.197952	160.834944	2.726015999999987	0.009399683963848382	160.834944	1.3630079999999936	0.010944168489918638	
14A	4	a	162.879456	166.286976	165.605472	3.407520000000005	0.014941739782737828	164.242464	1.7037600000000026	0.03987162029259028	
14A	4	a	166.96848	171.057504	169.012992	4.089023999999995	0.01791545992500887	169.012992	2.0445119999999974	0.06315034060819691	
14A	4	a	171.739008	178.554048	172.420512	6.815039999999982	0.03867066243065298	175.146528	3.407519999999991	0.14172248575419566	
14A	4	a	179.235552	194.22864	181.961568	14.993088	0.0668504149946112	186.732096	7.496544	0.7503070309532511	
14A	4	a	194.910144	205.814208	197.63616	10.904064000000005	0.037215310714761696	200.362176	5.452032000000003	0.34212829974870496	
14A	4	a	207.85872	218.08128	216.036768	10.222559999999987	0.05071033362765509	212.629248	5.111279999999994	0.3505898093520514	
14A	4	a	218.762784	231.029856	220.807296	12.267071999999985	0.0485382016160949	224.89632	6.133535999999992	0.40180607575215177	
14A	4	a	231.71136	249.430464	243.978432	17.719103999999987	0.06016050270230289	240.570912	8.859551999999994	0.7065302724873717	
14A	4	a	250.111968	253.519488	251.474976	3.407520000000005	0.02668854079040628	251.474976	1.7037600000000026	0.06106888775281327	
14A	4	a	254.200992	267.149568	259.653024	12.948575999999974	0.06867875925218825	260.334528	6.474287999999987	0.7554981230829853	
