ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
3A,3828659.000000,2287.132019,4095.000000,91.000000,4004.000000,1545.018957,4635.056870,2603935.000000,1555.516726,2467.000000,215.000000,2252.000000,579.339817,1738.019451,26.467584,t040_0_1
4A,4535231.000000,2709.218041,4095.000000,94.000000,4001.000000,1507.412575,4522.237725,2710753.000000,1619.326762,2437.000000,219.000000,2218.000000,521.515379,1564.546137,26.467584,t040_0_1
5A,4349301.000000,2598.148746,4095.000000,52.000000,4043.000000,1658.239623,4974.718870,2922818.000000,1746.008363,2452.000000,218.000000,2234.000000,626.044020,1878.132059,26.467584,t040_0_1
6A,4473236.000000,2672.183990,4095.000000,50.000000,4045.000000,1620.838843,4862.516528,2583933.000000,1543.568100,2429.000000,214.000000,2215.000000,759.376524,2278.129572,26.467584,t040_0_1
7A,3952486.000000,2361.102748,4095.000000,29.000000,4066.000000,1609.894533,4829.683598,2595245.000000,1550.325568,2430.000000,228.000000,2202.000000,681.940761,2045.822283,26.467584,t040_0_1
8A,2562454.000000,1530.737157,4095.000000,31.000000,4064.000000,1241.068450,3723.205350,2579503.000000,1540.921744,2455.000000,229.000000,2226.000000,729.408269,2188.224808,26.467584,t040_0_1
9A,2301575.000000,1374.895460,4095.000000,30.000000,4065.000000,1213.832053,3641.496160,2602476.000000,1554.645161,2462.000000,220.000000,2242.000000,707.018003,2121.054010,26.467584,t040_0_1
10A,2759965.000000,1648.724612,4095.000000,32.000000,4063.000000,1399.136941,4197.410823,2528853.000000,1510.664875,2469.000000,246.000000,2223.000000,748.492786,2245.478359,26.467584,t040_0_1
11A,2842373.000000,1697.952808,4095.000000,62.000000,4033.000000,1466.923808,4400.771424,2534979.000000,1514.324373,2472.000000,243.000000,2229.000000,699.883501,2099.650502,26.467584,t040_0_1
12A,2855578.000000,1705.841099,4095.000000,31.000000,4064.000000,1561.702599,4685.107796,2618593.000000,1564.272999,2486.000000,266.000000,2220.000000,632.065106,1896.195319,26.467584,t040_0_1
13A,2780732.000000,1661.130227,4095.000000,27.000000,4068.000000,1573.721043,4721.163130,2679806.000000,1600.839904,2505.000000,261.000000,2244.000000,715.954876,2147.864627,26.467584,t040_0_1
14A,2153348.000000,1286.348865,4095.000000,30.000000,4065.000000,1351.655421,4054.966264,2942399.000000,1757.705496,2520.000000,256.000000,2264.000000,641.520938,1924.562813,26.467584,t040_0_1
15A,1452638.000000,867.764636,4095.000000,28.000000,4067.000000,943.949621,2831.848862,3024811.000000,1806.936081,2520.000000,277.000000,2243.000000,654.892132,1964.676397,26.467584,t040_0_1
16A,1382016.000000,825.577061,4095.000000,30.000000,4065.000000,918.983716,2756.951149,2902581.000000,1733.919355,2530.000000,265.000000,2265.000000,689.865577,2069.596730,26.467584,t040_0_1
17A,1262823.000000,754.374552,4095.000000,28.000000,4067.000000,995.186683,2985.560049,3272485.000000,1954.889486,2538.000000,589.000000,1949.000000,479.307487,1437.922461,26.467584,t040_0_1
18A,867110.000000,517.986858,4095.000000,29.000000,4066.000000,470.450390,1411.351171,3222763.000000,1925.186977,2534.000000,267.000000,2267.000000,702.464065,2107.392195,26.467584,t040_0_1
19A,563460.000000,336.594982,1329.000000,27.000000,1302.000000,223.238799,669.716396,3766481.000000,2249.988650,2548.000000,1451.000000,1097.000000,147.868909,443.606728,26.467584,t040_0_1
20A,66980.000000,40.011947,202.000000,25.000000,177.000000,20.039891,60.119673,4150539.000000,2479.413978,2513.000000,2449.000000,64.000000,10.156838,30.470514,26.467584,t040_0_1
1A,3658182.000000,2185.293907,4095.000000,60.000000,4035.000000,1500.940359,4502.821077,2276674.000000,1360.020311,2441.000000,197.000000,2244.000000,644.783537,1934.350611,27.146240,t041_0_1
2A,4649569.000000,2777.520311,4095.000000,98.000000,3997.000000,1544.328212,4632.984636,2381679.000000,1422.747312,2436.000000,218.000000,2218.000000,532.602251,1597.806753,27.146240,t041_0_1
3A,3918483.000000,2340.790323,4095.000000,39.000000,4056.000000,1554.560837,4663.682511,2590584.000000,1547.541219,2462.000000,224.000000,2238.000000,574.030484,1722.091451,27.146240,t041_0_1
4A,4196440.000000,2506.833931,4095.000000,78.000000,4017.000000,1489.220255,4467.660765,2686677.000000,1604.944444,2431.000000,220.000000,2211.000000,524.685637,1574.056911,27.146240,t041_0_1
5A,4200566.000000,2509.298686,4095.000000,68.000000,4027.000000,1666.920568,5000.761703,2893942.000000,1728.758662,2452.000000,220.000000,2232.000000,639.150390,1917.451171,27.146240,t041_0_1
6A,4515353.000000,2697.343489,4095.000000,37.000000,4058.000000,1613.854077,4841.562231,2589295.000000,1546.771207,2437.000000,217.000000,2220.000000,762.515404,2287.546212,27.146240,t041_0_1
7A,3978195.000000,2376.460573,4095.000000,29.000000,4066.000000,1612.151161,4836.453482,2612293.000000,1560.509558,2438.000000,228.000000,2210.000000,683.354378,2050.063133,27.146240,t041_0_1
8A,2661766.000000,1590.063321,4095.000000,94.000000,4001.000000,1290.789065,3872.367194,2592560.000000,1548.721625,2463.000000,229.000000,2234.000000,728.386091,2185.158273,27.146240,t041_0_1
9A,2296032.000000,1371.584229,4095.000000,31.000000,4064.000000,1206.750585,3620.251755,2616868.000000,1563.242533,2474.000000,218.000000,2256.000000,708.439827,2125.319482,27.146240,t041_0_1
10A,2815703.000000,1682.020908,4095.000000,61.000000,4034.000000,1429.002030,4287.006089,2523251.000000,1507.318399,2475.000000,242.000000,2233.000000,748.994862,2246.984585,27.146240,t041_0_1
11A,2850328.000000,1702.704898,4095.000000,45.000000,4050.000000,1464.153631,4392.460893,2539580.000000,1517.072879,2478.000000,242.000000,2236.000000,701.696579,2105.089737,27.146240,t041_0_1
12A,2874153.000000,1716.937276,4095.000000,32.000000,4063.000000,1566.625082,4699.875245,2628692.000000,1570.305854,2496.000000,267.000000,2229.000000,633.278696,1899.836087,27.146240,t041_0_1
13A,2771266.000000,1655.475508,4095.000000,29.000000,4066.000000,1572.844163,4718.532489,2686466.000000,1604.818399,2515.000000,258.000000,2257.000000,717.923871,2153.771612,27.146240,t041_0_1
14A,2151375.000000,1285.170251,4095.000000,30.000000,4065.000000,1355.300968,4065.902904,2935665.000000,1753.682796,2527.000000,259.000000,2268.000000,647.282577,1941.847732,27.146240,t041_0_1
15A,1438681.000000,859.427121,4095.000000,28.000000,4067.000000,941.343158,2824.029474,3031916.000000,1811.180406,2531.000000,281.000000,2250.000000,652.604631,1957.813892,27.146240,t041_0_1
16A,1374073.000000,820.832139,4095.000000,33.000000,4062.000000,912.198567,2736.595701,2890603.000000,1726.764038,2537.000000,269.000000,2268.000000,699.703105,2099.109314,27.146240,t041_0_1
17A,1290461.000000,770.884707,4095.000000,29.000000,4066.000000,996.002843,2988.008529,3276928.000000,1957.543608,2530.000000,592.000000,1938.000000,475.934275,1427.802826,27.146240,t041_0_1
18A,882613.000000,527.247909,4021.000000,28.000000,3993.000000,479.210456,1437.631367,3232275.000000,1930.869176,2549.000000,266.000000,2283.000000,706.267788,2118.803365,27.146240,t041_0_1
