ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
10A,1807650.000000,1079.838710,3295.000000,101.000000,3194.000000,504.154057,1512.462171,2775360.000000,1657.921147,1988.000000,1214.000000,774.000000,124.559399,373.678198,1.454640,t005_0_1
11A,203733.000000,121.704301,420.000000,26.000000,394.000000,65.823252,197.469756,2988343.000000,1785.151135,1867.000000,1694.000000,173.000000,19.926069,59.778208,1.454640,t005_0_1
1A,3401655.000000,2032.051971,4095.000000,30.000000,4065.000000,1601.613410,4804.840231,1992070.000000,1190.005974,1635.000000,242.000000,1393.000000,363.848267,1091.544801,1.818300,t006_0_1
2A,3617779.000000,2161.158303,4095.000000,59.000000,4036.000000,1675.491520,5026.474560,1960335.000000,1171.048387,1724.000000,240.000000,1484.000000,348.404355,1045.213064,1.818300,t006_0_1
3A,3709043.000000,2215.676822,4095.000000,63.000000,4032.000000,1581.992528,4745.977585,1919079.000000,1146.403226,1670.000000,298.000000,1372.000000,325.371581,976.114744,1.818300,t006_0_1
4A,3277903.000000,1958.126045,4095.000000,33.000000,4062.000000,1666.754148,5000.262443,2129723.000000,1272.235962,1752.000000,273.000000,1479.000000,313.969945,941.909836,1.818300,t006_0_1
5A,1314199.000000,785.065114,4095.000000,31.000000,4064.000000,759.261833,2277.785498,2343289.000000,1399.814217,1809.000000,319.000000,1490.000000,300.120891,900.362673,1.818300,t006_0_1
6A,776398.000000,463.798088,3174.000000,28.000000,3146.000000,330.691146,992.073439,2441948.000000,1458.750299,1885.000000,436.000000,1449.000000,289.581946,868.745838,1.818300,t006_0_1
7A,1443778.000000,862.471924,3676.000000,30.000000,3646.000000,734.755705,2204.267114,2444042.000000,1460.001195,1794.000000,451.000000,1343.000000,225.784762,677.354285,1.818300,t006_0_1
8A,1698726.000000,1014.770609,3219.000000,48.000000,3171.000000,713.353442,2140.060327,2517739.000000,1504.025687,1838.000000,722.000000,1116.000000,199.743001,599.229002,1.818300,t006_0_1
9A,2164155.000000,1292.804659,3377.000000,87.000000,3290.000000,689.028740,2067.086221,2724042.000000,1627.265233,1902.000000,1140.000000,762.000000,145.667774,437.003323,1.818300,t006_0_1
10A,1726611.000000,1031.428315,2599.000000,61.000000,2538.000000,480.320755,1440.962264,2758004.000000,1647.553166,1985.000000,1228.000000,757.000000,126.157631,378.472892,1.818300,t006_0_1
11A,207417.000000,123.905018,471.000000,26.000000,445.000000,67.160242,201.480727,2979568.000000,1779.909200,1857.000000,1695.000000,162.000000,18.961103,56.883308,1.818300,t006_0_1
1A,3418462.000000,2042.091995,4095.000000,45.000000,4050.000000,1610.770978,4832.312933,1914855.000000,1143.879928,1624.000000,242.000000,1382.000000,353.581416,1060.744248,2.181960,t007_0_1
2A,3623923.000000,2164.828554,4095.000000,41.000000,4054.000000,1678.563867,5035.691600,1970115.000000,1176.890681,1735.000000,238.000000,1497.000000,349.051943,1047.155828,2.181960,t007_0_1
