ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
10A,471964.000000,281.937873,1377.000000,27.000000,1350.000000,188.715727,566.147182,2857012.000000,1706.697730,1988.000000,1467.000000,521.000000,72.382245,217.146735,52.570112,t113_0_1
11A,131149.000000,78.344683,402.000000,25.000000,377.000000,50.021525,150.064576,3267461.000000,1951.888292,2052.000000,1885.000000,167.000000,25.060335,75.181004,52.570112,t113_0_1
1A,2614161.000000,1561.625448,4095.000000,30.000000,4065.000000,1519.598647,4558.795942,2169692.000000,1296.112306,1882.000000,228.000000,1654.000000,436.303275,1308.909825,53.039488,t114_0_1
2A,2156142.000000,1288.017921,4095.000000,26.000000,4069.000000,1529.941244,4589.823732,2216006.000000,1323.778973,1857.000000,271.000000,1586.000000,448.377796,1345.133387,53.039488,t114_0_1
3A,2219745.000000,1326.012545,4095.000000,26.000000,4069.000000,1547.835407,4643.506220,2354197.000000,1406.330346,1931.000000,367.000000,1564.000000,397.696891,1193.090674,53.039488,t114_0_1
4A,1897332.000000,1133.412186,4095.000000,27.000000,4068.000000,1484.141428,4452.424283,2390043.000000,1427.743728,2010.000000,310.000000,1700.000000,414.586601,1243.759803,53.039488,t114_0_1
5A,957382.000000,571.912784,4095.000000,26.000000,4069.000000,864.842606,2594.527818,2135549.000000,1275.716249,1964.000000,279.000000,1685.000000,426.986472,1280.959415,53.039488,t114_0_1
6A,851831.000000,508.859618,4095.000000,27.000000,4068.000000,786.014683,2358.044050,1760352.000000,1051.584229,1728.000000,288.000000,1440.000000,361.493364,1084.480091,53.039488,t114_0_1
7A,844172.000000,504.284349,4095.000000,27.000000,4068.000000,798.846487,2396.539462,2356438.000000,1407.669056,1836.000000,497.000000,1339.000000,348.362000,1045.085999,53.039488,t114_0_1
8A,838328.000000,500.793309,4039.000000,26.000000,4013.000000,723.465302,2170.395906,2273864.000000,1358.341697,1785.000000,513.000000,1272.000000,255.929742,767.789225,53.039488,t114_0_1
9A,663658.000000,396.450418,3649.000000,28.000000,3621.000000,462.345252,1387.035755,2581715.000000,1542.243130,1968.000000,850.000000,1118.000000,211.578716,634.736149,53.039488,t114_0_1
10A,457675.000000,273.402031,1470.000000,29.000000,1441.000000,176.120988,528.362964,2866621.000000,1712.437873,1995.000000,1481.000000,514.000000,70.267640,210.802920,53.039488,t114_0_1
11A,129785.000000,77.529869,321.000000,25.000000,296.000000,47.627305,142.881916,3270134.000000,1953.485066,2050.000000,1887.000000,163.000000,24.212793,72.638378,53.039488,t114_0_1
