ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
7A,2085752.000000,1245.968937,4095.000000,29.000000,4066.000000,1155.109941,3465.329824,2997381.000000,1790.550179,2441.000000,221.000000,2220.000000,590.858722,1772.576165,1.394536,t003_0_1
8A,1773680.000000,1059.545998,4095.000000,30.000000,4065.000000,980.927892,2942.783675,2848290.000000,1701.487455,2439.000000,217.000000,2222.000000,734.147108,2202.441324,1.394536,t003_0_1
9A,1784866.000000,1066.228196,4095.000000,29.000000,4066.000000,1012.217274,3036.651821,2987258.000000,1784.502987,2437.000000,229.000000,2208.000000,630.233591,1890.700773,1.394536,t003_0_1
10A,2136142.000000,1276.070490,4095.000000,57.000000,4038.000000,1141.531767,3424.595300,2906205.000000,1736.084229,2448.000000,222.000000,2226.000000,693.575628,2080.726885,1.394536,t003_0_1
11A,2701691.000000,1613.913381,4095.000000,25.000000,4070.000000,1507.718829,4523.156486,2823438.000000,1686.641577,2460.000000,230.000000,2230.000000,666.128582,1998.385745,1.394536,t003_0_1
12A,2899515.000000,1732.087814,4095.000000,28.000000,4067.000000,1514.803139,4544.409416,2749499.000000,1642.472521,2464.000000,220.000000,2244.000000,723.763930,2171.291790,1.394536,t003_0_1
13A,2704667.000000,1615.691159,4095.000000,31.000000,4064.000000,1449.597727,4348.793182,2718078.000000,1623.702509,2467.000000,240.000000,2227.000000,743.918348,2231.755045,1.394536,t003_0_1
14A,1847433.000000,1103.603943,4095.000000,27.000000,4068.000000,1164.786137,3494.358411,2906090.000000,1736.015532,2485.000000,241.000000,2244.000000,724.504323,2173.512970,1.394536,t003_0_1
15A,1297492.000000,775.084827,3860.000000,27.000000,3833.000000,750.282016,2250.846049,3128133.000000,1868.657706,2505.000000,291.000000,2214.000000,618.362759,1855.088276,1.394536,t003_0_1
16A,678458.000000,405.291517,1878.000000,27.000000,1851.000000,313.679215,941.037644,3244003.000000,1937.875149,2514.000000,290.000000,2224.000000,634.912622,1904.737866,1.394536,t003_0_1
17A,572374.000000,341.919952,1550.000000,27.000000,1523.000000,280.081117,840.243351,3373028.000000,2014.951016,2513.000000,285.000000,2228.000000,596.480607,1789.441821,1.394536,t003_0_1
18A,568515.000000,339.614695,1545.000000,27.000000,1518.000000,295.953561,887.860684,3616017.000000,2160.105735,2512.000000,341.000000,2171.000000,487.358476,1462.075429,1.394536,t003_0_1
19A,511786.000000,305.726404,1452.000000,26.000000,1426.000000,253.346765,760.040296,3834232.000000,2290.461171,2513.000000,1314.000000,1199.000000,161.588293,484.764880,1.394536,t003_0_1
20A,60434.000000,36.101553,157.000000,25.000000,132.000000,15.534267,46.602802,4067874.000000,2430.032258,2461.000000,2384.000000,77.000000,10.300278,30.900835,1.394536,t003_0_1
1A,2318029.000000,1384.724612,4095.000000,32.000000,4063.000000,1044.150351,3132.451052,2739915.000000,1636.747312,1929.000000,926.000000,1003.000000,216.233866,648.701599,2.091804,t004_0_1
2A,1609261.000000,961.326762,4095.000000,30.000000,4065.000000,741.828395,2225.485184,2655326.000000,1586.216249,2280.000000,600.000000,1680.000000,394.050120,1182.150359,2.091804,t004_0_1
3A,1781893.000000,1064.452210,3833.000000,28.000000,3805.000000,923.491468,2770.474404,2913379.000000,1740.369773,2347.000000,993.000000,1354.000000,281.679194,845.037583,2.091804,t004_0_1
4A,1714491.000000,1024.188172,3322.000000,26.000000,3296.000000,813.231229,2439.693688,2967534.000000,1772.720430,2391.000000,1061.000000,1330.000000,237.550278,712.650834,2.091804,t004_0_1
5A,2422843.000000,1447.337515,4095.000000,27.000000,4068.000000,1154.148248,3462.444745,2960741.000000,1768.662485,2428.000000,781.000000,1647.000000,327.851957,983.555871,2.091804,t004_0_1
6A,2314146.000000,1382.405018,4095.000000,27.000000,4068.000000,1148.013261,3444.039782,2410424.000000,1439.918757,2409.000000,303.000000,2106.000000,614.136266,1842.408798,2.091804,t004_0_1
7A,2127784.000000,1271.077658,4095.000000,30.000000,4065.000000,1182.197828,3546.593484,2978728.000000,1779.407407,2431.000000,221.000000,2210.000000,595.930388,1787.791165,2.091804,t004_0_1
8A,1790887.000000,1069.824970,4095.000000,29.000000,4066.000000,988.148649,2964.445947,2860713.000000,1708.908602,2431.000000,215.000000,2216.000000,736.901628,2210.704883,2.091804,t004_0_1
9A,1794951.000000,1072.252688,4095.000000,27.000000,4068.000000,1013.379021,3040.137062,2979202.000000,1779.690562,2431.000000,230.000000,2201.000000,629.541521,1888.624563,2.091804,t004_0_1
10A,2114673.000000,1263.245520,4095.000000,35.000000,4060.000000,1112.462396,3337.387187,2920242.000000,1744.469534,2449.000000,222.000000,2227.000000,692.735291,2078.205873,2.091804,t004_0_1
11A,2613437.000000,1561.192951,4095.000000,30.000000,4065.000000,1468.330604,4404.991812,2843059.000000,1698.362605,2451.000000,224.000000,2227.000000,666.027746,1998.083239,2.091804,t004_0_1
12A,2914681.000000,1741.147551,4095.000000,28.000000,4067.000000,1517.694726,4553.084179,2737087.000000,1635.057945,2454.000000,222.000000,2232.000000,727.291388,2181.874164,2.091804,t004_0_1
13A,2728645.000000,1630.014934,4095.000000,32.000000,4063.000000,1452.026408,4356.079223,2726314.000000,1628.622461,2470.000000,240.000000,2230.000000,744.875929,2234.627788,2.091804,t004_0_1
14A,1849772.000000,1105.001195,4095.000000,28.000000,4067.000000,1170.908921,3512.726763,2908535.000000,1737.476105,2476.000000,239.000000,2237.000000,725.631520,2176.894559,2.091804,t004_0_1
15A,1303779.000000,778.840502,4041.000000,28.000000,4013.000000,761.669728,2285.009184,3133058.000000,1871.599761,2495.000000,288.000000,2207.000000,618.605354,1855.816062,2.091804,t004_0_1
16A,679880.000000,406.140980,1632.000000,28.000000,1604.000000,316.899504,950.698512,3244593.000000,1938.227599,2515.000000,286.000000,2229.000000,638.040975,1914.122925,2.091804,t004_0_1
17A,572639.000000,342.078256,1402.000000,24.000000,1378.000000,273.321416,819.964249,3387303.000000,2023.478495,2512.000000,286.000000,2226.000000,587.166252,1761.498757,2.091804,t004_0_1
18A,577634.000000,345.062127,1559.000000,26.000000,1533.000000,298.932045,896.796136,3622523.000000,2163.992234,2508.000000,347.000000,2161.000000,486.099882,1458.299645,2.091804,t004_0_1
19A,507486.000000,303.157706,1414.000000,27.000000,1387.000000,257.042324,771.126973,3835249.000000,2291.068698,2523.000000,1245.000000,1278.000000,167.085043,501.255129,2.091804,t004_0_1
20A,62127.000000,37.112903,178.000000,26.000000,152.000000,17.117935,51.353804,4094150.000000,2445.728793,2478.000000,2413.000000,65.000000,11.581070,34.743211,2.091804,t004_0_1
1A,2171077.000000,1296.939665,4095.000000,30.000000,4065.000000,957.483498,2872.450493,2726049.000000,1628.464158,1916.000000,915.000000,1001.000000,215.112921,645.338764,2.789072,t005_0_1
2A,1607671.000000,960.376941,4095.000000,27.000000,4068.000000,736.290341,2208.871024,2642439.000000,1578.517921,2275.000000,589.000000,1686.000000,394.151108,1182.453323,2.789072,t005_0_1
3A,1781570.000000,1064.259259,4091.000000,27.000000,4064.000000,949.160528,2847.481584,2898269.000000,1731.343489,2331.000000,977.000000,1354.000000,285.236498,855.709495,2.789072,t005_0_1
