ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Time,Frame Id
7A,1124299.000000,510.812812,3529.000000,39.000000,2765098.000000,1256.291686,1993.000000,329.000000,3.769200,t007_0_1
8A,1202991.000000,546.565652,2798.000000,62.000000,2894198.000000,1314.946842,1961.000000,263.000000,3.769200,t007_0_1
9A,1388554.000000,630.874148,2777.000000,49.000000,2631852.000000,1195.752840,1891.000000,277.000000,3.769200,t007_0_1
10A,1189106.000000,540.257156,2482.000000,64.000000,2336285.000000,1061.465243,1853.000000,254.000000,3.769200,t007_0_1
11A,1657256.000000,752.955929,2644.000000,72.000000,2516811.000000,1143.485234,1771.000000,270.000000,3.769200,t007_0_1
12A,1997439.000000,907.514312,2772.000000,56.000000,2391750.000000,1086.665152,1672.000000,256.000000,3.769200,t007_0_1
13A,1974245.000000,896.976374,2653.000000,64.000000,2430883.000000,1104.444798,1668.000000,258.000000,3.769200,t007_0_1
14A,1886434.000000,857.080418,2407.000000,58.000000,2637680.000000,1198.400727,1680.000000,253.000000,3.769200,t007_0_1
15A,1740932.000000,790.973194,2468.000000,59.000000,2588802.000000,1176.193548,1745.000000,274.000000,3.769200,t007_0_1
16A,1940252.000000,881.532031,2405.000000,69.000000,2610853.000000,1186.212176,1813.000000,319.000000,3.769200,t007_0_1
17A,1819089.000000,826.482962,2546.000000,55.000000,2728744.000000,1239.774648,1852.000000,298.000000,3.769200,t007_0_1
18A,1807854.000000,821.378464,2260.000000,46.000000,3042269.000000,1382.221263,1853.000000,343.000000,3.769200,t007_0_1
19A,866721.000000,393.785098,2048.000000,37.000000,3279958.000000,1490.212631,1908.000000,421.000000,3.769200,t007_0_1
20A,141619.000000,64.343026,159.000000,27.000000,4346064.000000,1974.586097,2062.000000,1900.000000,3.769200,t007_0_1
1A,317978.000000,144.469786,569.000000,25.000000,2864917.000000,1301.643344,2120.000000,835.000000,4.397400,t008_0_1
2A,462556.000000,210.157201,899.000000,25.000000,3213610.000000,1460.068151,2134.000000,944.000000,4.397400,t008_0_1
3A,869954.000000,395.253975,1496.000000,24.000000,3157670.000000,1434.652431,2121.000000,889.000000,4.397400,t008_0_1
4A,1721396.000000,782.097229,2725.000000,25.000000,3124236.000000,1419.462063,2077.000000,910.000000,4.397400,t008_0_1
5A,2165768.000000,983.992731,4083.000000,29.000000,2964974.000000,1347.103135,2038.000000,638.000000,4.397400,t008_0_1
6A,2538802.000000,1153.476602,4095.000000,35.000000,2802205.000000,1273.150841,2005.000000,438.000000,4.397400,t008_0_1
7A,1164583.000000,529.115402,3692.000000,42.000000,2756851.000000,1252.544752,1977.000000,331.000000,4.397400,t008_0_1
8A,1174906.000000,533.805543,2765.000000,54.000000,2895780.000000,1315.665607,1951.000000,260.000000,4.397400,t008_0_1
9A,1361466.000000,618.567015,2922.000000,56.000000,2626981.000000,1193.539755,1894.000000,276.000000,4.397400,t008_0_1
10A,1213159.000000,551.185370,2306.000000,57.000000,2335011.000000,1060.886415,1858.000000,253.000000,4.397400,t008_0_1
11A,1661398.000000,754.837801,2674.000000,78.000000,2514548.000000,1142.457065,1784.000000,270.000000,4.397400,t008_0_1
12A,2000836.000000,909.057701,2756.000000,62.000000,2392072.000000,1086.811449,1676.000000,255.000000,4.397400,t008_0_1
13A,1972266.000000,896.077238,2604.000000,65.000000,2428410.000000,1103.321218,1659.000000,259.000000,4.397400,t008_0_1
14A,1899751.000000,863.130850,2498.000000,68.000000,2635478.000000,1197.400273,1688.000000,253.000000,4.397400,t008_0_1
15A,1748761.000000,794.530214,2428.000000,72.000000,2585697.000000,1174.782826,1746.000000,265.000000,4.397400,t008_0_1
16A,1944050.000000,883.257610,2395.000000,71.000000,2608127.000000,1184.973648,1804.000000,319.000000,4.397400,t008_0_1
17A,1822232.000000,827.910950,2462.000000,57.000000,2725643.000000,1238.365743,1849.000000,294.000000,4.397400,t008_0_1
18A,1806626.000000,820.820536,2305.000000,53.000000,3038734.000000,1380.615175,1844.000000,343.000000,4.397400,t008_0_1
19A,858911.000000,390.236711,2147.000000,38.000000,3273120.000000,1487.105861,1901.000000,406.000000,4.397400,t008_0_1
20A,141693.000000,64.376647,182.000000,27.000000,4341171.000000,1972.363017,2060.000000,1898.000000,4.397400,t008_0_1
1A,320078.000000,145.423898,562.000000,25.000000,2868949.000000,1303.475239,2127.000000,837.000000,5.025600,t009_0_1
2A,468568.000000,212.888687,888.000000,24.000000,3217223.000000,1461.709677,2131.000000,940.000000,5.025600,t009_0_1
3A,875125.000000,397.603362,1462.000000,25.000000,3162880.000000,1437.019537,2117.000000,888.000000,5.025600,t009_0_1
4A,1722982.000000,782.817810,2584.000000,27.000000,3127189.000000,1420.803726,2085.000000,913.000000,5.025600,t009_0_1
5A,2186298.000000,993.320309,4045.000000,28.000000,2968575.000000,1348.739209,2036.000000,634.000000,5.025600,t009_0_1
6A,2562188.000000,1164.101772,4095.000000,30.000000,2805055.000000,1274.445706,2011.000000,430.000000,5.025600,t009_0_1
7A,1202179.000000,546.196729,3967.000000,44.000000,2758035.000000,1253.082690,1983.000000,331.000000,5.025600,t009_0_1
8A,1150702.000000,522.808723,2870.000000,61.000000,2901110.000000,1318.087233,1950.000000,260.000000,5.025600,t009_0_1
9A,1338454.000000,608.111767,2856.000000,46.000000,2626578.000000,1193.356656,1892.000000,278.000000,5.025600,t009_0_1
10A,1238437.000000,562.670150,2394.000000,55.000000,2337091.000000,1061.831440,1853.000000,249.000000,5.025600,t009_0_1
11A,1673268.000000,760.230804,2597.000000,73.000000,2515194.000000,1142.750568,1784.000000,268.000000,5.025600,t009_0_1
12A,2006968.000000,911.843707,2792.000000,73.000000,2393191.000000,1087.319855,1679.000000,249.000000,5.025600,t009_0_1
13A,1986245.000000,902.428442,2597.000000,71.000000,2430946.000000,1104.473421,1655.000000,262.000000,5.025600,t009_0_1
14A,1910173.000000,867.865970,2414.000000,57.000000,2637210.000000,1198.187188,1687.000000,249.000000,5.025600,t009_0_1
15A,1756529.000000,798.059518,2465.000000,55.000000,2590257.000000,1176.854612,1748.000000,271.000000,5.025600,t009_0_1
16A,1954083.000000,887.815993,2384.000000,60.000000,2611799.000000,1186.641981,1814.000000,312.000000,5.025600,t009_0_1
17A,1831761.000000,832.240345,2476.000000,57.000000,2727359.000000,1239.145388,1854.000000,296.000000,5.025600,t009_0_1
18A,1820771.000000,827.247160,2345.000000,56.000000,3042512.000000,1382.331667,1853.000000,338.000000,5.025600,t009_0_1
19A,855631.000000,388.746479,2083.000000,34.000000,3272867.000000,1486.990913,1900.000000,394.000000,5.025600,t009_0_1
20A,142467.000000,64.728305,150.000000,26.000000,4344800.000000,1974.011813,2052.000000,1908.000000,5.025600,t009_0_1
1A,322170.000000,146.374375,566.000000,25.000000,2865809.000000,1302.048614,2115.000000,835.000000,5.653800,t010_0_1
2A,468519.000000,212.866424,910.000000,24.000000,3213159.000000,1459.863244,2128.000000,938.000000,5.653800,t010_0_1
