ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Time,Frame Id
8A,993190.000000,593.303465,4095.000000,149.000000,685716.000000,409.627240,577.000000,123.000000,2.637792,t005_0_1
9A,1190021.000000,710.884707,4095.000000,150.000000,721167.000000,430.804659,580.000000,120.000000,2.637792,t005_0_1
10A,1523110.000000,909.862605,4095.000000,150.000000,716271.000000,427.879928,580.000000,118.000000,2.637792,t005_0_1
11A,1460850.000000,872.670251,3234.000000,152.000000,721916.000000,431.252091,580.000000,130.000000,2.637792,t005_0_1
12A,1436281.000000,857.993429,3608.000000,153.000000,763021.000000,455.807049,579.000000,132.000000,2.637792,t005_0_1
13A,1646191.000000,983.387694,4095.000000,150.000000,735608.000000,439.431302,581.000000,117.000000,2.637792,t005_0_1
14A,1473177.000000,880.034050,4095.000000,158.000000,760976.000000,454.585424,584.000000,124.000000,2.637792,t005_0_1
15A,1396008.000000,833.935484,4095.000000,161.000000,717270.000000,428.476703,581.000000,115.000000,2.637792,t005_0_1
16A,1323460.000000,790.597372,4095.000000,165.000000,726161.000000,433.787933,586.000000,125.000000,2.637792,t005_0_1
17A,1228392.000000,733.806452,4095.000000,157.000000,832104.000000,497.075269,582.000000,129.000000,2.637792,t005_0_1
18A,971871.000000,580.568100,4095.000000,175.000000,833892.000000,498.143369,588.000000,159.000000,2.637792,t005_0_1
19A,1021610.000000,610.280765,4095.000000,155.000000,879880.000000,525.615293,582.000000,182.000000,2.637792,t005_0_1
20A,260540.000000,155.639188,257.000000,148.000000,948697.000000,566.724612,582.000000,549.000000,2.637792,t005_0_1
1A,2479789.000000,1481.355436,4095.000000,149.000000,617136.000000,368.659498,562.000000,185.000000,3.297240,t006_0_1
2A,2318217.000000,1384.836918,4095.000000,149.000000,647034.000000,386.519713,562.000000,170.000000,3.297240,t006_0_1
3A,1532669.000000,915.572879,4095.000000,150.000000,649551.000000,388.023297,566.000000,166.000000,3.297240,t006_0_1
4A,1132709.000000,676.648148,3868.000000,149.000000,660746.000000,394.710872,570.000000,138.000000,3.297240,t006_0_1
5A,861924.000000,514.888889,2260.000000,148.000000,692013.000000,413.388889,573.000000,140.000000,3.297240,t006_0_1
6A,916275.000000,547.356631,3510.000000,150.000000,694568.000000,414.915173,575.000000,146.000000,3.297240,t006_0_1
7A,1052109.000000,628.500000,3122.000000,149.000000,728791.000000,435.359020,576.000000,129.000000,3.297240,t006_0_1
8A,981646.000000,586.407407,3958.000000,150.000000,683792.000000,408.477897,574.000000,121.000000,3.297240,t006_0_1
9A,1175848.000000,702.418160,4095.000000,150.000000,719486.000000,429.800478,575.000000,122.000000,3.297240,t006_0_1
10A,1510209.000000,902.155914,4095.000000,150.000000,714206.000000,426.646356,577.000000,120.000000,3.297240,t006_0_1
11A,1454289.000000,868.750896,3113.000000,149.000000,719918.000000,430.058542,578.000000,127.000000,3.297240,t006_0_1
12A,1428964.000000,853.622461,3836.000000,151.000000,761234.000000,454.739546,578.000000,128.000000,3.297240,t006_0_1
13A,1639827.000000,979.586022,4095.000000,151.000000,732996.000000,437.870968,577.000000,118.000000,3.297240,t006_0_1
14A,1443993.000000,862.600358,4095.000000,153.000000,758505.000000,453.109319,585.000000,127.000000,3.297240,t006_0_1
15A,1376638.000000,822.364397,4095.000000,173.000000,714831.000000,427.019713,580.000000,114.000000,3.297240,t006_0_1
16A,1303417.000000,778.624253,4095.000000,161.000000,723555.000000,432.231183,581.000000,125.000000,3.297240,t006_0_1
17A,1210211.000000,722.945639,4095.000000,151.000000,827651.000000,494.415173,579.000000,129.000000,3.297240,t006_0_1
18A,971808.000000,580.530466,4095.000000,165.000000,829090.000000,495.274791,583.000000,159.000000,3.297240,t006_0_1
19A,1031823.000000,616.381720,4095.000000,154.000000,874630.000000,522.479092,577.000000,182.000000,3.297240,t006_0_1
20A,261192.000000,156.028674,242.000000,148.000000,945139.000000,564.599164,579.000000,550.000000,3.297240,t006_0_1
1A,2487407.000000,1485.906213,4095.000000,150.000000,618824.000000,369.667861,565.000000,193.000000,3.956688,t007_0_1
2A,2334003.000000,1394.267025,4095.000000,149.000000,647401.000000,386.738949,563.000000,169.000000,3.956688,t007_0_1
3A,1527097.000000,912.244325,4095.000000,150.000000,647953.000000,387.068698,564.000000,164.000000,3.956688,t007_0_1
4A,1136012.000000,678.621266,3777.000000,150.000000,660110.000000,394.330944,570.000000,140.000000,3.956688,t007_0_1
5A,861014.000000,514.345281,2365.000000,149.000000,691273.000000,412.946834,578.000000,143.000000,3.956688,t007_0_1
6A,897467.000000,536.121266,2960.000000,149.000000,693963.000000,414.553763,577.000000,145.000000,3.956688,t007_0_1
