ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Time,Frame Id
15A,774555.000000,351.910495,1995.000000,37.000000,2897221.000000,1316.320309,2026.000000,247.000000,6.215976,t010_0_1
16A,749577.000000,340.562017,1743.000000,32.000000,3110793.000000,1413.354384,2030.000000,308.000000,6.215976,t010_0_1
17A,533695.000000,242.478419,1392.000000,35.000000,3203602.000000,1455.521127,2051.000000,339.000000,6.215976,t010_0_1
18A,389918.000000,177.154930,1298.000000,34.000000,3239055.000000,1471.628805,2054.000000,298.000000,6.215976,t010_0_1
19A,274031.000000,124.502953,2336.000000,28.000000,3315215.000000,1506.231259,2049.000000,405.000000,6.215976,t010_0_1
20A,119135.000000,54.127669,128.000000,27.000000,4381824.000000,1990.833258,2040.000000,1939.000000,6.215976,t010_0_1
1A,1662046.000000,755.132213,2767.000000,24.000000,2733536.000000,1241.951840,2137.000000,421.000000,6.906640,t011_0_1
2A,2102724.000000,955.349387,3148.000000,25.000000,3202836.000000,1455.173103,2152.000000,548.000000,6.906640,t011_0_1
3A,2689762.000000,1222.063607,4095.000000,24.000000,3496093.000000,1588.411177,2149.000000,893.000000,6.906640,t011_0_1
4A,3640517.000000,1654.028623,4095.000000,27.000000,3366056.000000,1529.330304,2134.000000,769.000000,6.906640,t011_0_1
5A,1945743.000000,884.026806,3984.000000,29.000000,3281059.000000,1490.712858,2126.000000,645.000000,6.906640,t011_0_1
6A,2989399.000000,1358.200363,4095.000000,25.000000,3399628.000000,1544.583371,2093.000000,574.000000,6.906640,t011_0_1
7A,3296670.000000,1497.805543,3925.000000,30.000000,3436785.000000,1561.465243,2070.000000,626.000000,6.906640,t011_0_1
8A,2235605.000000,1015.722399,3133.000000,34.000000,3066074.000000,1393.036801,2014.000000,294.000000,6.906640,t011_0_1
9A,1676652.000000,761.768287,3052.000000,31.000000,3131493.000000,1422.759200,1977.000000,498.000000,6.906640,t011_0_1
10A,1041217.000000,473.065425,2591.000000,32.000000,2865776.000000,1302.033621,1946.000000,339.000000,6.906640,t011_0_1
11A,905236.000000,411.283962,2571.000000,29.000000,2965175.000000,1347.194457,1974.000000,319.000000,6.906640,t011_0_1
12A,649275.000000,294.990913,2179.000000,31.000000,2997282.000000,1361.781917,1979.000000,473.000000,6.906640,t011_0_1
13A,701480.000000,318.709677,1880.000000,34.000000,2961795.000000,1345.658791,2008.000000,300.000000,6.906640,t011_0_1
14A,708968.000000,322.111767,1603.000000,45.000000,2948751.000000,1339.732394,2009.000000,317.000000,6.906640,t011_0_1
15A,772519.000000,350.985461,1746.000000,37.000000,2887065.000000,1311.706043,2029.000000,252.000000,6.906640,t011_0_1
16A,742992.000000,337.570195,1718.000000,40.000000,3083202.000000,1400.818719,2037.000000,304.000000,6.906640,t011_0_1
17A,542085.000000,246.290323,1355.000000,38.000000,3208565.000000,1457.776011,2054.000000,346.000000,6.906640,t011_0_1
18A,384596.000000,174.736938,1343.000000,33.000000,3222660.000000,1464.179918,2051.000000,289.000000,6.906640,t011_0_1
19A,274948.000000,124.919582,2286.000000,29.000000,3306501.000000,1502.272149,2053.000000,401.000000,6.906640,t011_0_1
20A,119671.000000,54.371195,125.000000,23.000000,4394067.000000,1996.395729,2046.000000,1944.000000,6.906640,t011_0_1
